companyid,companyname,tickersymbol,industryid,headquartersid,dateadded,cik,founded
1,3M,MMM,31,177,1957-03-04,0000066740,1902
2,A. O. Smith,AOS,55,155,2017-07-26,0000091142,1916
3,Abbott,ABT,87,27,1957-03-04,0000001800,1888
4,Accenture,ACN,60,185,2011-07-06,0001467373,1989
5,Adobe Inc.,ADBE,83,62,1997-05-05,0000796343,1982
6,Becton Dickinson,BDX,87,196,1972-09-30,0000010795,1897
7,Berkshire Hathaway,BRK.B,91,106,2010-02-16,0001067983,1839
8,Bio-Rad,BIO,72,188,2020-06-22,0000012208,1952
9,ConocoPhillips,COP,23,145,1957-03-04,0001163165,2002
10,Consolidated Edison,ED,54,56,1957-03-04,0001047862,1823
11,Constellation Brands,STZ,15,173,2005-07-01,0000016918,1945
12,Constellation Energy,CEG,125,202,2022-02-02,0001868275,1999
13,Expeditors International,EXPD,77,26,2007-10-10,0000746515,1979
14,Illumina,ILMN,72,186,2015-11-19,0001110803,1998
15,Incyte,INCY,104,233,2017-02-28,0000879169,1991
16,Ingersoll Rand,IR,65,227,2020-03-03,0001699150,1859
17,Insulet,PODD,87,29,2023-03-15,0001145197,2000
18,Intel,INTC,64,128,1976-12-31,0000050863,1968
19,Intercontinental Exchange,ICE,76,8,2007-09-26,0001571949,2000
20,International Paper,IP,37,215,1957-03-04,0000051434,1898
21,Intuit,INTU,83,133,2000-12-05,0000896878,1983
22,Intuitive Surgical,ISRG,87,203,2008-06-02,0001035267,1995
23,Invesco,IVZ,38,8,2008-08-21,0000914208,1935
24,Invitation Homes,INVH,97,209,2022-09-19,0001687229,2012
25,McKesson Corporation,MCK,49,214,1999-01-13,0000927653,1833
26,Medtronic,MDT,87,185,1986-10-31,0001613103,1949
27,Merck & Co.,MRK,66,132,1957-03-04,0000310158,1891
28,Meta Platforms,META,110,245,2013-12-23,0001326801,2004
29,MetLife,MET,35,56,2000-12-11,0001099219,1868
30,Mettler Toledo,MTD,72,126,2016-09-06,0001037646,1945
31,MGM Resorts,MGM,18,35,2017-07-26,0000789570,1986
32,Microchip Technology,MCHP,64,235,2007-09-07,0000827054,1989
33,Micron Technology,MU,64,131,1994-09-27,0000723125,1978
34,Microsoft,MSFT,36,74,1994-06-01,0000789019,1975
35,Mid-America Apartment Communities,MAA,56,215,2016-12-02,0000912595,1977
36,Moderna,MRNA,104,208,2021-07-21,0001682852,2010
37,Mohawk Industries,MHK,61,71,2013-12-23,0000851968,1878
38,Molina Healthcare,MOH,78,60,2022-03-02,0001179929,1980
39,MSCI,MSCI,76,56,2018-04-04,0001408198,1969
40,PepsiCo,PEP,95,19,1957-03-04,0000077476,1898
41,Pfizer,PFE,66,56,1957-03-04,0000078003,1849
42,PG&E Corporation,PCG,54,140,2022-10-03,0001004980,1905
